 , ,,,,
QICPIC (QP0002) & LIXELL, 5.00 63.0 mm - M4 (2 ... 682 �m),,,,
Torraca_TC2,2019-02-21, 16:39:08,592,,
,,,,,
Aspect ratio (AR) vs. size ,,,,,
xm/�m,aspect ratio,,,,
810, 96.57,,805,998,
820, 96.93,,815,363,
830, 97.18,,825,245,
840, 98.22,,835,1047,
850, 98.53,,845,310,
860, 98.97,,855,440,
870, 99.16,,865,191,
880, 99.24,,875,80,
890, 99.30,,885,61,
900, 99.83,,895,527,
910, 99.87,,905,38,
920, 99.94,,915,73,
930,100.00,,925,54,
940,100.00,,935,0,
950,100.00,,945,4,
960,100.00,,955,0,
970,100.00,,965,0,
980,100.00,,975,0,
990,100.00,,985,0,
1000,100.00,,995,0,
 ,,,,,
,,,,,
,,,,,
Distribution density (log.),,,,,
size determined for calculation:  FERET_MAX,,,,,
,,,,,
mean size,distribution,,,,
for band,density (log),,,,
xm/�m,q0lg,,,,
    1.60,0.00,,,,
    2.35,0.00,,,,
    2.70,3.43,,,,
    3.31,0.52,,,,
    4.04,1.77,,,,
    4.94,0.08,,,,
    6.04,1.14,,,,
    7.39,0.79,,,,
    9.04,0.83,,,,
   11.05,0.79,,,,
   13.51,0.61,,,,
   16.52,0.41,,,,
   20.20,0.33,,,,
   24.70,0.27,,,,
   30.20,0.20,,,,
   36.93,0.12,,,,
   45.16,0.06,,,,
   55.22,0.04,,,,
   67.52,0.02,,,,
   82.56,0.01,,,,
  100.95,0.01,,,,
  123.43,0.00,,,,
  150.93,0.00,,,,
  184.54,0.00,,,,
  225.65,0.00,,,,
  275.91,0.00,,,,
  337.37,0.00,,,,
  412.52,0.00,,,,
  504.41,0.00,,,,
  616.76,0.00,,,,
 2183.03,0.00,,,,
 ,,,,,
,,,,,
,,,,,
distribution density (lin.),,,,,
size determined for calculation:  FERET_MAX,,,,,
mean size,distribution,,,,
for band,density (linear),,,,
xm/�m,q0/1/mm,,,,
    1.69,0,,,,
    2.35,0,,,,
    2.72,549764,,,,
    3.32,67882,,,,
    4.06,189631,,,,
    4.97,7176,,,,
    6.08,81778,,,,
    7.43,46309,,,,
    9.08,40043,,,,
   11.11,31031,,,,
   13.58,19471,,,,
   16.61,10762,,,,
   20.30,7117,,,,
   24.83,4699,,,,
   30.36,2937,,,,
   37.12,1449,,,,
   45.39,621,,,,
   55.50,276,,,,
   67.86,147,,,,
   82.97,77,,,,
  101.46,35,,,,
  124.06,16,,,,
  151.69,2,,,,
  185.48,0,,,,
  226.79,0,,,,
  277.31,0,,,,
  339.08,0,,,,
  414.61,0,,,,
  506.96,0,,,,
  619.88,0,,,,
 3834.87,0,,,,
,,,,,
,,,,,
Particles in QICPIC calculation,,,,,
26164,,,,,
,,,,,
,,,,,
,,,,,
 , ,,,,
QICPIC (QP0002) & LIXELL, 5.00 63.0 mm - M4 (2 ... 682 �m),,,,
Torraca_TC2,2019-02-21, 16:41:38,101,,
,,,,,
Aspect ratio (AR) vs. size ,,,,,
xm/�m,aspect ratio,,,,
1.41, ,,,,
2.21, ,,,,
2.70,0.71 ,,,,
3.31,0.71 ,,,,
4.04,0.45 ,,,,
4.94,0.45 ,,,,
6.04,0.59 ,,,,
7.39,0.61 ,,,,
9.04,0.61 ,,,,
11.05,0.64 ,,,,
13.51,0.64 ,,,,
16.52,0.66 ,,,,
20.20,0.64 ,,,,
24.70,0.62 ,,,,
30.20,0.61 ,,,,
36.93,0.57 ,,,,
45.16,0.62 ,,,,
55.22,0.60 ,,,,
67.52,0.56 ,,,,
82.56,0.50 ,,,,
100.95,0.47 ,,,,
123.43,0.26 ,,,,
150.93,0.25 ,,,,
184.54, ,,,,
225.65, ,,,,
275.91, ,,,,
337.37, ,,,,
412.52, ,,,,
504.41, ,,,,
616.76, ,,,,
2183.03, ,,,,
 ,,,,,
,,,,,
,,,,,
AR cumulative distribution,Mean AR density,,,,
aspect ratio,cumulative,,mean aspect ratio,distribution,
distribution,distribution,,,,
aO,Q0 / %,,,am,q0
10,  0.00,,5,0,
20,  0.00,,15,0,
30,  0.00,,25,0,
40,  0.00,,35,0,
50,  0.00,,45,0,
60,  0.00,,55,0,
70,  0.00,,65,0,
80,  0.00,,75,0,
90,  0.00,,85,0,
100,  0.00,,95,0,
110,  0.00,,105,0,
120,  0.00,,115,0,
130,  0.00,,125,0,
140,  0.00,,135,4,
150,  0.01,,145,4,
160,  0.01,,155,4,
170,  0.02,,165,11,
180,  0.03,,175,4,
190,  0.03,,185,4,
200,  0.09,,195,57,
210,  0.09,,205,4,
220,  0.12,,215,26,
230,  0.12,,225,4,
240,  0.12,,235,0,
250,  0.55,,245,431,
260,  0.56,,255,8,
270,  0.58,,265,19,
280,  0.64,,275,64,
290,  0.67,,285,26,
300,  0.70,,295,26,
310,  0.71,,305,15,
320,  3.70,,315,2993,
330,  3.77,,325,64,
340,  3.82,,335,53,
350,  3.85,,345,26,
360,  3.92,,355,68,
370,  4.01,,365,98,
380,  4.38,,375,367,
390,  4.54,,385,163,
400,  4.77,,395,231,
410,  4.85,,405,79,
420,  5.02,,415,163,
430,  5.23,,425,216,
440,  5.40,,435,170,
450, 21.65,,445,16250,
460, 21.89,,455,242,
470, 22.19,,465,299,
480, 22.61,,475,420,
490, 23.21,,485,598,
500, 23.86,,495,647,
510, 24.42,,505,560,
520, 25.13,,515,711,
530, 25.63,,525,499,
540, 26.03,,535,397,
550, 26.40,,545,378,
560, 32.54,,555,6133,
570, 33.13,,565,594,
580, 33.46,,575,329,
590, 33.86,,585,397,
600, 34.40,,595,545,
610, 36.03,,605,1623,
620, 36.38,,615,356,
630, 37.21,,625,829,
640, 39.15,,635,1941,
650, 39.39,,645,242,
660, 39.95,,655,560,
670, 40.65,,665,692,
680, 42.60,,675,1952,
690, 43.77,,685,1169,
700, 44.30,,695,533,
710, 90.35,,705,46048,
720, 90.59,,715,242,
730, 91.01,,725,420,
740, 91.32,,735,314,
750, 93.10,,745,1771,
760, 93.27,,755,170,
770, 93.74,,765,473,
780, 94.07,,775,333,
790, 95.32,,785,1245,
800, 95.69,,795,371,
810, 96.75,,805,1067,
820, 97.03,,815,276,
830, 97.23,,825,197,
840, 98.24,,835,1018,
850, 98.52,,845,276,
860, 98.98,,855,458,
870, 99.16,,865,182,
880, 99.22,,875,57,
890, 99.27,,885,53,
900, 99.86,,895,590,
910, 99.87,,905,11,
920, 99.93,,915,61,
930, 99.98,,925,53,
940, 99.99,,935,8,
950,100.00,,945,4,
960,100.00,,955,4,
970,100.00,,965,0,
980,100.00,,975,0,
990,100.00,,985,0,
1000,100.00,,995,0,
 ,,,,,
,,,,,
,,,,,
Distribution density (log.),,,,,
size determined for calculation:  FERET_MAX,,,,,
,,,,,
mean size,distribution,,,,
for band,density (log),,,,
xm/�m,q0lg,,,,
    1.60,0.00,,,,
    2.35,0.00,,,,
    2.70,3.57,,,,
    3.31,0.54,,,,
    4.04,1.81,,,,
    4.94,0.08,,,,
    6.04,1.10,,,,
    7.39,0.74,,,,
    9.04,0.84,,,,
   11.05,0.77,,,,
   13.51,0.57,,,,
   16.52,0.40,,,,
   20.20,0.33,,,,
   24.70,0.24,,,,
   30.20,0.20,,,,
   36.93,0.11,,,,
   45.16,0.05,,,,
   55.22,0.04,,,,
   67.52,0.03,,,,
   82.56,0.01,,,,
  100.95,0.00,,,,
  123.43,0.00,,,,
  150.93,0.00,,,,
  184.54,0.00,,,,
  225.65,0.00,,,,
  275.91,0.00,,,,
  337.37,0.00,,,,
  412.52,0.00,,,,
  504.41,0.00,,,,
  616.76,0.00,,,,
 2183.03,0.00,,,,
 ,,,,,
,,,,,
,,,,,
distribution density (lin.),,,,,
size determined for calculation:  FERET_MAX,,,,,
mean size,distribution,,,,
for band,density (linear),,,,
xm/�m,q0/1/mm,,,,
    1.69,0,,,,
    2.35,0,,,,
    2.72,571675,,,,
    3.32,70587,,,,
    4.06,194251,,,,
    4.97,7351,,,,
    6.08,79120,,,,
    7.43,43557,,,,
    9.08,40342,,,,
   11.11,30115,,,,
   13.58,18275,,,,
   16.61,10598,,,,
   20.30,6979,,,,
   24.83,4287,,,,
   30.36,2925,,,,
   37.12,1289,,,,
   45.39,496,,,,
   55.50,291,,,,
   67.86,183,,,,
   82.97,70,,,,
  101.46,15,,,,
  124.06,8,,,,
  151.69,4,,,,
  185.48,0,,,,
  226.79,0,,,,
  277.31,0,,,,
  339.08,0,,,,
  414.61,0,,,,
  506.96,0,,,,
  619.88,0,,,,
 3834.87,0,,,,
,,,,,
,,,,,
Particles in QICPIC calculation,,,,,
26431,,,,,
,,,,,
,,,,,
,,,,,
 , ,,,,
QICPIC (QP0002) & LIXELL, 5.00 63.0 mm - M4 (2 ... 682 �m),,,,
Torraca_TC2,2019-02-21, 16:42:52,895,,
,,,,,
Aspect ratio (AR) vs. size ,,,,,
xm/�m,aspect ratio,,,,
1.41, ,,,,
2.21, ,,,,
2.70,0.71 ,,,,
3.31,0.71 ,,,,
4.04,0.45 ,,,,
4.94,0.45 ,,,,
6.04,0.59 ,,,,
7.39,0.61 ,,,,
9.04,0.60 ,,,,
11.05,0.64 ,,,,
13.51,0.65 ,,,,
16.52,0.66 ,,,,
20.20,0.64 ,,,,
24.70,0.64 ,,,,
30.20,0.62 ,,,,
36.93,0.58 ,,,,
45.16,0.60 ,,,,
55.22,0.58 ,,,,
67.52,0.54 ,,,,
82.56,0.52 ,,,,
100.95,0.46 ,,,,
123.43,0.25 ,,,,
150.93,0.24 ,,,,
184.54, ,,,,
225.65, ,,,,
275.91, ,,,,
337.37, ,,,,
412.52, ,,,,
504.41, ,,,,
616.76, ,,,,
2183.03,0.36 ,,,,
 ,,,,,
,,,,,
,,,,,
AR cumulative distribution,Mean AR density,,,,
aspect ratio,cumulative,,mean aspect ratio,distribution,
distribution,distribution,,,,
aO,Q0 / %,,,am,q0
10,  0.00,,5,0,
20,  0.00,,15,0,
30,  0.00,,25,0,
40,  0.00,,35,0,
50,  0.00,,45,0,
60,  0.00,,55,0,
70,  0.00,,65,0,
80,  0.00,,75,0,
90,  0.00,,85,0,
100,  0.00,,95,0,
110,  0.00,,105,0,
120,  0.00,,115,0,
130,  0.00,,125,3,
140,  0.00,,135,0,
150,  0.01,,145,3,
160,  0.01,,155,7,
170,  0.03,,165,17,
180,  0.04,,175,7,
190,  0.04,,185,3,
200,  0.07,,195,33,
210,  0.07,,205,0,
220,  0.09,,215,13,
230,  0.09,,225,7,
240,  0.11,,235,20,
250,  0.66,,245,547,
260,  0.67,,255,7,
270,  0.67,,265,7,
280,  0.71,,275,40,
290,  0.75,,285,36,
300,  0.77,,295,20,
310,  0.80,,305,27,
320,  3.88,,315,3082,
330,  3.92,,325,46,
340,  3.98,,335,53,
350,  4.02,,345,46,
360,  4.09,,355,63,
370,  4.18,,365,93,
380,  4.64,,375,464,
390,  4.76,,385,119,
